TRAMO_ID,ANYO,PROVINCIA,VIA_NORM,TIPO_VIA,PK_INICIO,PK_FIN,LONGITUD,IMD_TOTAL,IMD_LIG,IMD_PES,VEH_KM,N_ACC,HUBO_ACCIDENTE,TASA_100M
182,2016,Barcelona,A-2,Autopista libre y autovía,559.31,571.53,12.22,42188.0,32483.0,9705.0,188171136.4,37,1,19.662952
183,2016,Barcelona,A-2,Autopista libre y autovía,571.53,585.59,14.06,45752.0,37614.0,8138.0,234794688.8,58,1,24.702433
184,2016,Barcelona,A-2,Autopista libre y autovía,585.59,590.16,4.57,111497.0,99457.0,12040.0,185982570.9,19,1,10.216011
185,2016,Barcelona,A-2,Autopista libre y autovía,590.16,598.95,8.79,141380.0,131264.0,10116.0,453596523.0,62,1,13.668535
186,2016,Barcelona,A-2,Autopista libre y autovía,598.95,602.25,3.3,141380.0,131264.0,10116.0,170292210.0,42,1,24.663489
187,2016,Barcelona,A-2,Autopista libre y autovía,602.25,604.21,1.96,135170.0,125590.0,9580.0,96700618.0,39,1,40.330663
188,2016,Barcelona,A-2,Autopista libre y autovía,604.21,607.52,3.31,149433.0,130845.0,18588.0,180537479.0,42,1,23.263868
189,2016,Barcelona,A-2,Autopista libre y autovía,607.52,610.69,3.17,149433.0,130845.0,18588.0,172901452.6,59,1,34.123484
190,2016,Girona,A-2,Autopista libre y autovía,695.5,698.24,2.74,27375.0,24982.0,2393.0,27377737.5,0,0,0.0
191,2016,Girona,A-2,Autopista libre y autovía,698.24,700.66,2.42,32405.0,29808.0,2597.0,28623336.5,0,0,0.0
192,2016,Girona,A-2,Autopista libre y autovía,700.66,701.95,1.29,32405.0,29808.0,2597.0,15257894.3,0,0,0.0
193,2016,Girona,A-2,Autopista libre y autovía,701.95,705.22,3.27,35230.0,32642.0,2588.0,42048766.5,2,1,4.756382
194,2016,Girona,A-2,Autopista libre y autovía,705.22,705.98,0.76,35230.0,32642.0,2588.0,9772802.0,0,0,0.0
195,2016,Girona,A-2,Autopista libre y autovía,705.98,706.85,0.87,43798.0,39573.0,4225.0,13908054.9,0,0,0.0
